"printing_id","short_id","canonical_id","set_code","collector_number","card_type","name_en","version_en","rules_text_en","flavor_text_en_reference","i18n_file_to_update","spanish_status"
"set12-068","EaV","ci_EaV","set12","68","location","Ring of Stones","Place of Legends","FOLLOW YOUR FATE Your exerted characters can move here for free.
PART THE VEIL Once during your turn, whenever a character moves here, gain 1 lore.","","src/cards/012/locations/068-ring-of-stones-place-of-legends.i18n.ts","translated"
"set12-069","2e1","ci_2e1","set12","69","character","Merida","Defiant Daughter","Ward","","src/cards/012/characters/069-merida-defiant-daughter.i18n.ts","translated"
"set12-070","4Qe","ci_4Qe","set12","70","character","Hamish, Hubert & Harris","Troublemaking Triplets","Evasive","","src/cards/012/characters/070-hamish-hubert-harris-troublemaking-triplets.i18n.ts","translated"
"set12-071","1yf","ci_1yf","set12","71","character","Young MacGuffin","Soft-Spoken Son","undefined","","src/cards/012/characters/071-young-macguffin-soft-spoken-son.i18n.ts","translated"
"set12-072","fT3","ci_fT3","set12","72","character","Tod","Nimble Fox","Evasive","","src/cards/012/characters/072-tod-nimble-fox.i18n.ts","translated"
"set12-073","A1F","ci_A1F","set12","73","character","Helga Sinclair","No Backup Needed","CRISIS MANAGEMENT If 2 or more cards were put into your discard this turn, you pay 2 {I} less to play this character.","","src/cards/012/characters/073-helga-sinclair-no-backup-needed.i18n.ts","translated"
"set12-074","S7a","ci_S7a","set12","74","character","The Witch","Wily Woodcarver","UNSATISFIED CUSTOMERS Whenever this character is challenged, each opponent loses 1 lore.","","src/cards/012/characters/074-the-witch-wily-woodcarver.i18n.ts","translated"
"set12-075","nvJ","ci_nvJ","set12","75","character","The Queen","Evil Ruler","UNEQUALED CRUELTY While an opposing damaged character is in play, this character gets +2 {S}.","","src/cards/012/characters/075-the-queen-evil-ruler.i18n.ts","translated"
"set12-076","Gb4","ci_Gb4","set12","76","character","Buzz Lightyear","Space Ranger","undefined","","src/cards/012/characters/076-buzz-lightyear-space-ranger.i18n.ts","translated"
"set12-077","Q20","ci_Q20","set12","77","character","RC","Remote-Controlled Car","LOW BATTERIES This character can't quest or challenge unless you pay 1 {I}. (You pay this cost each time.)","","src/cards/012/characters/077-rc-remote-controlled-car.i18n.ts","translated"
"set12-078","XII","ci_XII","set12","78","character","Lord MacGuffin","Clever Swordsman","WAIT FOR IT... This character may enter play exerted to deal 3 damage to chosen damaged character.","","src/cards/012/characters/078-lord-macguffin-clever-swordsman.i18n.ts","translated"
"set12-079","egA","ci_dp1","set12","79","character","Lenny","Toy Binoculars","TAKE A GOOD LOOK When you play this character, chosen opponent reveals their hand and discards an action card of your choice.
COMIN' UP FAST Once during your turn, whenever you play an action, you may ready this character.","","src/cards/012/characters/079-lenny-toy-binoculars.i18n.ts","translated"
"set12-080","btJ","ci_btJ","set12","80","character","Gaetan Moliere","Clever Burrower","Evasive
UNEARTH Whenever this character quests, you may draw 2 cards, then choose and discard 2 cards.","","src/cards/012/characters/080-gaetan-moliere-clever-burrower.i18n.ts","translated"
"set12-081","h96","ci_h96","set12","81","character","Peter Pan","Searching Far and Wide","undefined","","src/cards/012/characters/081-peter-pan-searching-far-and-wide.i18n.ts","translated"
"set12-082","Iy7","ci_d9j","set12","82","character","Milo Thatch","Getting His Hands Dirty","Ward
SCHOLAR'S GAMBIT When you play this character, you may choose and discard a card to return chosen character to their player's hand.
PRACTICAL KNOWLEDGE At the end of your turn, if 2 or more cards were put into your discard this turn, draw a card.","","src/cards/012/characters/082-milo-thatch-getting-his-hands-dirty.i18n.ts","translated"
"set12-083","m43","ci_m43","set12","83","character","Alien","True Believer","WE ARE ONE This character gets +1 {S} for each other Toy character you have in play.
HE HAS BEEN CHOSEN During your turn, when this character is banished, return another character card named Alien from your discard to your hand.","","src/cards/012/characters/083-alien-true-believer.i18n.ts","translated"
"set12-084","QXV","ci_QXV","set12","84","character","Donald Duck","Distracted Traveler","BURNING CURIOSITY Whenever this character quests, if you played another character this turn, each opponent chooses and discards a card.","","src/cards/012/characters/084-donald-duck-distracted-traveler.i18n.ts","translated"
"set12-085","xen","ci_xen","set12","85","character","Buzz Lightyear","On the Way","SECRET MISSION Whenever you pay 2 {I} or less to play a non-character, draw a card, then choose and discard a card.
WORLD'S GREATEST TOY Whenever you pay 2 {I} or less to play a character, deal 1 damage to chosen opposing damaged character.","","src/cards/012/characters/085-buzz-lightyear-on-the-way.i18n.ts","translated"
"set12-086","9Uo","ci_9Uo","set12","86","character","Elinor","Renowned Diplomat","COORDINATED EFFORTS At the end of your turn, if you have 3 or more exerted characters in play, deal 1 damage to chosen opposing character, gain 1 lore, and draw a card.","","src/cards/012/characters/086-elinor-renowned-diplomat.i18n.ts","translated"
"set12-087","UV1","ci_UV1","set12","87","character","Lyle Tiberius Rourke","Adventurer for Hire","EYE FOR VALUE When you play this character, you may draw a card, then choose and discard a card.
DIRTY TRICKS At the end of your turn, if 2 or more cards were put into your discard this turn, each opponent loses 1 lore.","","src/cards/012/characters/087-lyle-tiberius-rourke-adventurer-for-hire.i18n.ts","translated"
"set12-088","zGi","ci_zGi","set12","88","character","Joshua Sweet","Field Surgeon","NO PATIENCE Whenever this character is challenged, chosen opponent chooses and discards a card.","","src/cards/012/characters/088-joshua-sweet-field-surgeon.i18n.ts","translated"
"set12-089","5hR","ci_wwO","set12","89","character","Merida","Gifted Archer","Shift 3 {I}
FIERCE PROTECTION While this character is exerted, whenever an opposing character challenges, you may deal 1 damage to the challenging character.","","src/cards/012/characters/089-merida-gifted-archer.i18n.ts","translated"
"set12-090","eWy","ci_eWy","set12","90","character","The Queen","Devious Disguise","EVIL SCHEME When you play this character, you may draw a card. If you do, each opponent gains 2 lore.
JEALOUS HEART While an opponent has more lore than you, this character gets +2 {L}.","","src/cards/012/characters/090-the-queen-devious-disguise.i18n.ts","translated"
"set12-091","Y1s","ci_KHv","set12","91","character","Buzz Lightyear","Jungle Ranger","Shift 5 {I}
TAKE CHARGE When you play this character, you may return an action card with cost 7 or less from your discard to your hand.
ADVANCED TRAINING Whenever you play an action, chosen character gets +1 {L} this turn.","","src/cards/012/characters/091-buzz-lightyear-jungle-ranger.i18n.ts","translated"
"set12-092","fQT","ci_u7q","set12","92","character","Cruella De Vil","Judgmental Traveler","YOU'RE OUT OF FASHION Whenever this character quests, if you played another character this turn, you may banish chosen damaged character.","","src/cards/012/characters/092-cruella-de-vil-judgmental-traveler.i18n.ts","translated"
"set12-093","1kF","ci_1kF","set12","93","character","Helga Sinclair","Prepared for Anything","COMBAT TRAINING Whenever this character quests, deal 1 damage to chosen opposing character. If 2 or more cards were put into your discard this turn, deal 2 damage instead.","","src/cards/012/characters/093-helga-sinclair-prepared-for-anything.i18n.ts","translated"
"set12-094","xq2","ci_xq2","set12","94","character","The Huntsman","On the Queen's Orders","Ward","","src/cards/012/characters/094-the-huntsman-on-the-queens-orders.i18n.ts","translated"
"set12-095","KiR","ci_KiR","set12","95","action","Strange Things","","Up to 2 chosen characters can't quest until the start of your next turn. Draw a card.","","src/cards/012/actions/095-strange-things.i18n.ts","translated"
"set12-096","TZW","ci_TZW","set12","96","action","Sabotage","","Banish chosen item or location and all other items or locations with the same name.","","src/cards/012/actions/096-sabotage.i18n.ts","translated"
"set12-097","76J","ci_idk","set12","97","action","The Family Scattered","","Chosen opponent chooses 3 of their characters and returns one of those cards to their hand, puts one on the bottom of their deck, and puts one on the top of their deck.","","src/cards/012/actions/097-the-family-scattered.i18n.ts","translated"
"set12-098","XEC","ci_XEC","set12","98","item","Buzz's Arm","","MISSING PIECE If a character named Buzz Lightyear was banished this turn, you may play this item for free.
SOME ASSEMBLY REQUIRED {E} — You pay 1 {I} less for the next action or item you play this turn.","","src/cards/012/items/098-buzzs-arm.i18n.ts","translated"
"set12-099","7z5","ci_7z5","set12","99","item","The Claw","","THE CLAW CHOOSES {E}, 2 {I}, Banish one of your characters — Return chosen opposing character to their player's hand.","","src/cards/012/items/099-the-claw.i18n.ts","translated"
"set12-100","EdK","ci_EdK","set12","100","item","Gyro-Evac","","TAKE HER UP {E}, 1 {I} — Chosen character of yours gains Evasive until the start of your next turn.
CRASH LANDING {E}, Banish this item — Each player loses 2 lore.","","src/cards/012/items/100-gyro-evac.i18n.ts","translated"
"set12-101","yLr","ci_yLr","set12","101","item","Merida's Bow","","EASY SHOT When you play this item, deal 1 damage to chosen character.
FINAL ARROW 1 {I}, Banish this item — Deal 1 damage to chosen character.","","src/cards/012/items/101-meridas-bow.i18n.ts","translated"
"set12-102","59B","ci_59B","set12","102","location","Pizza Planet","Spaceport","YOU ARE CLEAR TO ENTER Your Toy characters can move here for free.
HEAVILY GUARDED Whenever a character is challenged while here, each opponent loses 1 lore.","","src/cards/012/locations/102-pizza-planet-spaceport.i18n.ts","translated"
"set12-103","hMm","ci_hMm","set12","103","character","Lyle Tiberius Rourke","Crystallized Commander","Shift 4 {I}
PLAN'S CHANGED When you play this character, put the top 2 cards of your deck into your discard. Then, you may return an action card with cost 4 or less from your discard to your hand.","","src/cards/012/characters/103-lyle-tiberius-rourke-crystallized-commander.i18n.ts","translated"
"set12-104","MpT","ci_MpT","set12","104","character","Mr. Incredible","Bob Parr","undefined","","src/cards/012/characters/104-mr-incredible-bob-parr.i18n.ts","translated"
"set12-105","V1e","ci_V1e","set12","105","character","Lyle Tiberius Rourke","Looking for His Moment","undefined","","src/cards/012/characters/105-lyle-tiberius-rourke-looking-for-his-moment.i18n.ts","translated"
"set12-106","t4R","ci_t4R","set12","106","character","Pegasus","Searching High and Low","Evasive","","src/cards/012/characters/106-pegasus-searching-high-and-low.i18n.ts","translated"
"set12-107","XG0","ci_XG0","set12","107","character","Audrey Ramirez","Gutsy Mechanic","Rush","","src/cards/012/characters/107-audrey-ramirez-gutsy-mechanic.i18n.ts","translated"
"set12-108","tm6","ci_tm6","set12","108","character","Milo Thatch","Courageous Explorer","FASCINATING DISCOVERY During your turn, if 2 or more cards were put into your discard this turn, this character gets +1 {L}.","","src/cards/012/characters/108-milo-thatch-courageous-explorer.i18n.ts","translated"
"set12-109","PmL","ci_PmL","set12","109","character","Zeus","Defiant God","IMMORTAL WOUND This character enters play with 4 damage.","","src/cards/012/characters/109-zeus-defiant-god.i18n.ts","translated"
"set12-110","D1V","ci_D1V","set12","110","character","Preston Whitmore","Expedition Financier","PRICE OF PROGRESS When you play this character, you may put the top 2 cards of your deck into your discard.","","src/cards/012/characters/110-preston-whitmore-expedition-financier.i18n.ts","translated"
"set12-111","NoE","ci_NoE","set12","111","character","Jingle Joe","Sid's Toy","TURN OUT THE LIGHT During your turn, whenever one of your other Toy characters is banished, chosen character of yours gains Evasive until the start of your next turn.","","src/cards/012/characters/111-jingle-joe-sids-toy.i18n.ts","translated"
"set12-112","ZJM","ci_ZJM","set12","112","character","Wind-Up Frog","Sid's Toy","ADDED TRACTION If one of your Toy characters was banished this turn, you pay 2 {I} less to play this character.","","src/cards/012/characters/112-wind-up-frog-sids-toy.i18n.ts","translated"
"set12-113","uOj","ci_uOj","set12","113","character","Roller Bob","Sid's Toy","TIME TO MOVE When you play this character, you may put 2 character cards from your discard on the bottom of your deck to give this character Rush this turn. (They can challenge the turn they're played.)","","src/cards/012/characters/113-roller-bob-sids-toy.i18n.ts","translated"
"set12-114","LbY","ci_LbY","set12","114","character","Hand-in-the-Box","Sid's Toy","SPRING-LOADED You may put a Toy character card from your discard on the bottom of your deck to play this character for free.","","src/cards/012/characters/114-hand-in-the-box-sids-toy.i18n.ts","translated"
"set12-115","7dh","ci_7aI","set12","115","character","Daisy Duck","Trendy Traveler","BREAK IS OVER Whenever this character quests, if you played a character this turn, you may ready another chosen character. If you do, they can't quest for the rest of this turn.","","src/cards/012/characters/115-daisy-duck-trendy-traveler.i18n.ts","translated"
"set12-116","WOu","ci_WOu","set12","116","character","Copper","Big Dog","undefined","","src/cards/012/characters/116-copper-big-dog.i18n.ts","translated"
"set12-117","yHb","ci_yHb","set12","117","character","Jebidiah Farnsworth","Cookie","Evasive
Reckless","","src/cards/012/characters/117-jebidiah-farnsworth-cookie.i18n.ts","translated"
"set12-118","eme","ci_eme","set12","118","character","Dash Parr","Super Speedy","Rush","","src/cards/012/characters/118-dash-parr-super-speedy.i18n.ts","translated"
"set12-119","IrS","ci_IrS","set12","119","character","Babyhead","Leader of Sid's Toys","TIGHTEN THE BOLTS Whenever you pay 2 {I} or less to play a card, chosen character gets +2 {S} this turn.
REPLACEMENT PARTS During your turn, whenever one of your other characters is banished, draw a card.","","src/cards/012/characters/119-babyhead-leader-of-sids-toys.i18n.ts","translated"
"set12-120","52H","ci_52H","set12","120","character","Bouncing Ducky","Sid's Toy","REJECTED TOYS For each Toy character card in your discard, you pay 1 {I} less to play this character.
REPURPOSED When you play this character, put all Toy character cards from your discard on the bottom of your deck in any order.","","src/cards/012/characters/120-bouncing-ducky-sids-toy.i18n.ts","translated"
"set12-121","kCm","ci_rvl","set12","121","character","Jack-Jack Parr","Incredible Potential","WEIRD THINGS ARE HAPPENING At the start of your turn, you may put the top card of your deck into your discard. If its card type is:
• character, this character gets +2 {S} this turn.
• action or item, this character gets +2 {L} this turn.
• location, banish chosen character.","","src/cards/012/characters/121-jack-jack-parr-incredible-potential.i18n.ts","translated"
"set12-122","tZ3","ci_nFK","set12","122","character","Queen of Hearts","Impatient Traveler","ROYAL COMMAND Whenever this character quests, if you played another character this turn, chosen character gains Rush this turn. (They can challenge the turn they're played.)","","src/cards/012/characters/122-queen-of-hearts-impatient-traveler.i18n.ts","translated"
"set12-123","osI","ci_osI","set12","123","character","Hercules","Young Rescuer","HEROIC SACRIFICE When you play this character, you may discard your hand. If you do, return a card from your discard to your hand.","","src/cards/012/characters/123-hercules-young-rescuer.i18n.ts","translated"
"set12-124","yND","ci_yND","set12","124","character","Vincenzo Santorini","On the Run","Evasive
NEUTRALIZE Opposing items can't ready at the start of their players' turns.","","src/cards/012/characters/124-vincenzo-santorini-on-the-run.i18n.ts","translated"
"set12-125","lYe","ci_lYe","set12","125","character","The Leviathan","Guardian of Atlantis","IT'S A MACHINE! When you play this character, if 2 or more cards were put into your discard this turn, you may banish any number of chosen opposing characters with total {S} 10 or less.","","src/cards/012/characters/125-the-leviathan-guardian-of-atlantis.i18n.ts","translated"
"set12-126","lRX","ci_lRX","set12","126","character","Sid Phillips","Toy Surgeon","PLAYTIME'S OVER When you play this character, you may banish another chosen character of yours. If you do, each opponent chooses and banishes one of their characters.
DOUBLE PRIZES! During your turn, whenever a Toy character is banished, gain 2 lore.","","src/cards/012/characters/126-sid-phillips-toy-surgeon.i18n.ts","translated"
"set12-127","556","ci_qoz","set12","127","character","Mr. Incredible","Super Strong","Shift 3 {I} (You may pay 3 {I} to play this on top of one of your characters named Mr. Incredible.)
ALWAYS UNITED This character gets +2 {S} for each other character you have in play.
LET'S DO THIS! Whenever one of your Super characters challenges another character, draw a card.","","src/cards/012/characters/127-mr-incredible-super-strong.i18n.ts","translated"
"set12-128","7me","ci_7me","set12","128","character","Pterodactyl Janie Doll","Sid's Toy","DOUBLE TRANSPLANT During your turn, when this character is banished, each opponent loses 1 lore and you gain 1 lore.","","src/cards/012/characters/128-pterodactyl-janie-doll-sids-toy.i18n.ts","translated"
"set12-129","7xf","ci_7xf","set12","129","action","Inner Strength","","Chosen character gets +1 {S} this turn. Draw a card.","","src/cards/012/actions/129-inner-strength.i18n.ts","translated"
"set12-130","q1z","ci_q1z","set12","130","action","Firefly Swarm","","Choose one:
• Banish chosen character with 2 {S} or less.
• If 2 or more other cards were put into your discard this turn, banish chosen character.","","src/cards/012/actions/130-firefly-swarm.i18n.ts","translated"
"set12-131","49o","ci_49o","set12","131","action","Like A Bird In the Sky","","Chosen character gets +1 {L} and gains Evasive until the start of your next turn.","","src/cards/012/actions/131-like-a-bird-in-the-sky.i18n.ts","translated"
"set12-132","5Mc","ci_5Mc","set12","132","action","Hero Work","","Your characters get +1 {S} this turn. Your Hero characters gain ""Whenever this character challenges another character, each opponent loses 1 lore and you gain 1 lore"" this turn.","","src/cards/012/actions/132-hero-work.i18n.ts","translated"
"set12-133","XzQ","ci_XzQ","set12","133","action","Dangerous Plan","","Draw 2 cards. Then, discard a card at random.","","src/cards/012/actions/133-dangerous-plan.i18n.ts","translated"
"set12-134","fvP","ci_fvP","set12","134","item","Amazu's Inkcaster","","ON THE HORIZON {E}, 1 {I} — Look at the top 4 cards of your deck. You may reveal a location card and put it into your hand. Put the rest on the bottom of your deck in any order.","","src/cards/012/items/134-amazus-inkcaster.i18n.ts","translated"
"set12-135","JRM","ci_JRM","set12","135","location","Remote Inklands","Desert Ruins","ERODING WINDS At the start of your turn, put the top card of your deck into your discard.
SUCCESSFUL EXPEDITION Characters get +2 {S} while here.","","src/cards/012/locations/135-remote-inklands-desert-ruins.i18n.ts","translated"
"set12-136","MTW","ci_MTW","set12","136","location","Leviathan's Lair","Dangerous Ground","LOST TO THE DUNES When this location is banished, each opponent chooses and banishes one of their characters.","","src/cards/012/locations/136-leviathans-lair-dangerous-ground.i18n.ts","translated"
"set12-137","6Vl","ci_6Vl","set12","137","character","Robin Hood","Desert Wanderer","undefined","","src/cards/012/characters/137-robin-hood-desert-wanderer.i18n.ts","translated"
"set12-138","zqs","ci_zqs","set12","138","character","Prince Charming","Searching for Answers","undefined","","src/cards/012/characters/138-prince-charming-searching-for-answers.i18n.ts","translated"
"set12-139","Eab","ci_Eab","set12","139","character","Merryweather","Feisty Fairy","Ward","","src/cards/012/characters/139-merryweather-feisty-fairy.i18n.ts","translated"
"set12-140","lVp","ci_lVp","set12","140","character","Fauna","Good-Natured Fairy","Support","","src/cards/012/characters/140-fauna-good-natured-fairy.i18n.ts","translated"
"set12-141","RW9","ci_RW9","set12","141","character","Flora","Strong-Willed Fairy","LUMINOUS SHELTER When you play this character, your other characters gain Resist +1 until the start of your next turn.","","src/cards/012/characters/141-flora-strong-willed-fairy.i18n.ts","translated"
"set12-142","9UM","ci_9UM","set12","142","character","Mirabel Madrigal","Resourceful Daughter","THIS WILL HELP When you play this character, remove up to 2 damage from chosen character.","","src/cards/012/characters/142-mirabel-madrigal-resourceful-daughter.i18n.ts","translated"
"set12-143","ib4","ci_ib4","set12","143","character","Syndrome","Evil Inventor","Alert (This character can challenge as if they had Evasive.)","","src/cards/012/characters/143-syndrome-evil-inventor.i18n.ts","translated"
"set12-144","562","ci_ucq","set12","144","character","Kida","Guardian of the Path","NATURAL DEFENSE When you play this character, chosen opposing character gets -2 {S} this turn.","","src/cards/012/characters/144-kida-guardian-of-the-path.i18n.ts","translated"
"set12-145","fJ4","ci_fJ4","set12","145","character","Gadget Hackwrench","Resourceful Mechanic","TIME TO TINKER When you play this character, you may play an item with cost 3 or less for free.
WELL SUPPLIED Your characters with Support get +1 {L}.","","src/cards/012/characters/145-gadget-hackwrench-resourceful-mechanic.i18n.ts","translated"
"set12-146","SBA","ci_SBA","set12","146","character","Norton Nimnul","Misanthropic Genius","DEVITALIZER RAY Once during your turn, whenever you play an item, chosen opposing character gets -2 {S} this turn.","","src/cards/012/characters/146-norton-nimnul-misanthropic-genius.i18n.ts","translated"
"set12-147","XOw","ci_XOw","set12","147","character","Gadget Hackwrench","Finder of Lost Parts","USEFUL BITS When this character leaves play, you may return an item card from your discard to your hand.","","src/cards/012/characters/147-gadget-hackwrench-finder-of-lost-parts.i18n.ts","translated"
"set12-148","b66","ci_6uh","set12","148","character","Zipper","Tiny Helper","undefined","","src/cards/012/characters/148-zipper-tiny-helper.i18n.ts","translated"
"set12-149","1Nh","ci_1Nh","set12","149","character","Edna Mode","Super Suit Designer","KEY ACCESSORY {E} — Ready chosen item.
ALL THE BASICS While you have an item named Super Suit in play, this character gains Ward.","","src/cards/012/characters/149-edna-mode-super-suit-designer.i18n.ts","translated"
"set12-150","lnZ","ci_lnZ","set12","150","character","Zipper","Big Helper","Shift 2 {I}
BUZZING ENTHUSIASM Whenever this character quests, you may add his {W} to another chosen character's {S} this turn.","","src/cards/012/characters/150-zipper-big-helper.i18n.ts","translated"
"set12-151","bZm","ci_bZm","set12","151","character","Luisa Madrigal","No Pressure","SHOULDER THE BURDEN Whenever this character quests, you may move up to 3 damage from chosen character to this character.","","src/cards/012/characters/151-luisa-madrigal-no-pressure.i18n.ts","translated"
"set12-152","4yx","ci_4yx","set12","152","character","Dr. Sara Bellum","Head of Research","SCIENTIFIC SCRUTINY When you play this character, look at the top card of your deck. Put it on either the top or the bottom of your deck.","","src/cards/012/characters/152-dr-sara-bellum-head-of-research.i18n.ts","translated"
"set12-153","45l","ci_45l","set12","153","character","Isabela Madrigal","Perfectly in Control","FEEL BETTER When you play this character and whenever she quests, you may move all damage from chosen character of yours to this character.
SELF-CARE At the end of your turn, you may remove all damage from this character.","","src/cards/012/characters/153-isabela-madrigal-perfectly-in-control.i18n.ts","translated"
"set12-154","6Lw","ci_6Lw","set12","154","character","Bruno Madrigal","Oasis Oracle","FIND THAT VISION Once during your turn, whenever you remove damage from one of your characters, you may look at the top 2 cards of your deck. Put one into your hand and the other on the bottom of your deck.
YOU'LL BE OKAY Whenever this character quests, you may remove all damage from chosen character.","","src/cards/012/characters/154-bruno-madrigal-oasis-oracle.i18n.ts","translated"
"set12-155","AKb","ci_fXG","set12","155","character","Cinderella","Resourceful Traveler","THIS AND THAT Whenever this character quests, if you played another character this turn, you may put the top card of your deck into your inkwell facedown and exerted.","","src/cards/012/characters/155-cinderella-resourceful-traveler.i18n.ts","translated"
"set12-156","U5v","ci_U5v","set12","156","character","Bruno Madrigal","Seeing the Future","CHANGE THE OUTCOME When you play this character, you may look at the top card of chosen player's deck. Put it on either the top or the bottom of their deck.","","src/cards/012/characters/156-bruno-madrigal-seeing-the-future.i18n.ts","translated"
"set12-157","SiA","ci_SiA","set12","157","character","Kida","Discovering the Unknown","READ THE RUNES Whenever this character quests, if 2 or more cards were put into your discard this turn, you may put the top card of your deck into your inkwell facedown and exerted.","","src/cards/012/characters/157-kida-discovering-the-unknown.i18n.ts","translated"
"set12-158","9CP","ci_9CP","set12","158","character","Kashekim","Wise King","STRENGTH IN MEMORY At the end of your turn, if 2 or more cards were put into your discard this turn, you may put the top card of your deck into your inkwell facedown.","","src/cards/012/characters/158-kashekim-wise-king.i18n.ts","translated"
"set12-159","lv1","ci_uSb","set12","159","character","Minnie Mouse","Practical Traveler","DISCERNING EYE Whenever this character quests, if you played another character this turn, gain 1 lore.","","src/cards/012/characters/159-minnie-mouse-practical-traveler.i18n.ts","translated"
"set12-160","21E","ci_21E","set12","160","character","Kida","Crystal Scion","Shift 6 {I}
FLOOD OF POWER When you play this character, each player may put up to 5 cards from their discard into their inkwell facedown and exerted.
THE PATH REVEALED 7 {I} — Look at the top 2 cards of your deck. Put one into your hand and the other on the bottom of your deck.","","src/cards/012/characters/160-kida-crystal-scion.i18n.ts","translated"
"set12-161","5iv","ci_5iv","set12","161","character","Ursula","Deal Maker","QUITE THE BARGAIN When you play this character and whenever she quests, another chosen character gets +1 {L} this turn.
BY THE WAY At the end of your turn, if this character is exerted, put chosen character of yours into your inkwell facedown and exerted.","","src/cards/012/characters/161-ursula-deal-maker.i18n.ts","translated"
"set12-162","20z","ci_20z","set12","162","action","Someone Will Lose His Head","","Each opposing character gets -2 {S} this turn.","","src/cards/012/actions/162-someone-will-lose-his-head.i18n.ts","translated"
"set12-163","YA5","ci_GBS","set12","163","action","What Else Can I Do?","","Look at the top 2 cards of your deck. Put one into your hand and the other into your inkwell facedown and exerted. If a character sang this song, your characters gain Ward until the start of your next turn.","","src/cards/012/actions/163-what-else-can-i-do.i18n.ts","translated"
"set12-164","6F2","ci_6F2","set12","164","action","Escape Plan","","You can't play this action unless 2 or more cards were put into your discard this turn.
Each player chooses 2 of their characters and puts them into their inkwell facedown and exerted.","","src/cards/012/actions/164-escape-plan.i18n.ts","translated"
"set12-165","SfW","ci_SfW","set12","165","action","Salvage Operation","","Return an item card from your discard to your hand. If you have a character with 4 {W} or more in play, gain 1 lore.","","src/cards/012/actions/165-salvage-operation.i18n.ts","translated"
"set12-166","gFH","ci_gFH","set12","166","item","Julieta's Arepas","","FLAVORFUL CURE At the start of your turn, if you have a Madrigal character in play, remove up to 2 damage from chosen character.
THAT DID THE TRICK {E} — If you removed damage from a character this turn, gain 1 lore.","","src/cards/012/items/166-julietas-arepas.i18n.ts","translated"
"set12-167","WTA","ci_WTA","set12","167","item","Ranger Plane","","AIR SUPPORT Your characters gain Support. (Whenever they quest, you may add their {S} to another chosen character's {S} this turn.)
BIG LIFT {E} — Chosen character with 10 {S} or more gets +3 {L} this turn.","","src/cards/012/items/167-ranger-plane.i18n.ts","translated"
"set12-168","rir","ci_rir","set12","168","item","Gadget's Goggles","","ENHANCED VISION {E}, 1 {I} — Look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.","","src/cards/012/items/168-gadgets-goggles.i18n.ts","translated"
"set12-169","zo6","ci_zo6","set12","169","item","Shepherd's Journal","","MARGIN NOTES When you play this item, you may look at the top card of your deck. Put it on either the top of your deck or into your discard.
KEY TO THE PUZZLE 1 {I}, Banish this item — Return another item card from your discard to your hand.","","src/cards/012/items/169-shepherds-journal.i18n.ts","translated"
"set12-170","xbQ","ci_xbQ","set12","170","location","Casa Madrigal","Courtyard","HEALING HOME Whenever a character quests while here, you may remove up to 2 damage from them. Then, you may remove up to 2 damage from this location.","","src/cards/012/locations/170-casa-madrigal-courtyard.i18n.ts","translated"
"set12-171","5Da","ci_iIv","set12","171","character","Pocahontas","Steadfast Traveler","WANDERING SPIRIT Whenever this character quests, if you played another character this turn, return a location card from your discard to your hand.","","src/cards/012/characters/171-pocahontas-steadfast-traveler.i18n.ts","translated"
"set12-172","jT4","ci_wqr","set12","172","character","Syndrome","Out for Revenge","Shift 4 {I}
GOT ME MONOLOGUING! Whenever this character quests, return a Robot character card from your discard to your hand. Then, you may play or shift a Robot character with cost 8 or less for free.","","src/cards/012/characters/172-syndrome-out-for-revenge.i18n.ts","translated"
"set12-173","IRb","ci_IRb","set12","173","character","Omnidroid","V.8","undefined","","src/cards/012/characters/173-omnidroid-v8.i18n.ts","translated"
"set12-174","4N8","ci_4N8","set12","174","character","Angus","Mighty Horse","DAUNTLESS When you play this character, chosen character gains Alert this turn. (They can challenge as if they had Evasive.)","","src/cards/012/characters/174-angus-mighty-horse.i18n.ts","translated"
"set12-175","Yws","ci_Yws","set12","175","character","Fergus","King of DunBroch","Bodyguard","","src/cards/012/characters/175-fergus-king-of-dunbroch.i18n.ts","translated"
"set12-176","jMG","ci_jMG","set12","176","character","Wee Dingwall","Scrappy Lad","Challenger +2","","src/cards/012/characters/176-wee-dingwall-scrappy-lad.i18n.ts","translated"
"set12-177","mD0","ci_mD0","set12","177","character","Incrediboy","Buddy Pine","NERDING OUT When you play this character, if a Hero character is in play, gain 1 lore.
SPOILER ALERT This character also counts as being named Syndrome for Shift.","","src/cards/012/characters/177-incrediboy-buddy-pine.i18n.ts","translated"
"set12-178","NsD","ci_NsD","set12","178","character","Violet Parr","At Wits' End","Alert (This character can challenge as if they had Evasive.)","","src/cards/012/characters/178-violet-parr-at-wits-end.i18n.ts","translated"
"set12-179","I8E","ci_I8E","set12","179","character","Mrs. Incredible","Helen Parr","PEP TALK When you play this character, chosen character gains Challenger +2 this turn. (They get +2 {S} while challenging.)","","src/cards/012/characters/179-mrs-incredible-helen-parr.i18n.ts","translated"
"set12-180","ABk","ci_ABk","set12","180","character","Young Macintosh","Proud Son","undefined","","src/cards/012/characters/180-young-macintosh-proud-son.i18n.ts","translated"
"set12-181","Vqf","ci_Vqf","set12","181","character","Lord Macintosh","Wiry and High-Strung","TOUGH IT OUT This character may enter play exerted to give chosen character Resist +2 until the start of your next turn.","","src/cards/012/characters/181-lord-macintosh-wiry-and-high-strung.i18n.ts","translated"
